Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772109691,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772109692,5,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,390.0,406.9395416066982,179.83191600069404,646.1634169681929,92.0
1772109692,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,390.0,406.9395416066982,179.83191600069404,646.1634169681929,92.0
1772109693,5,GET,/,0.000000,0.000000,540,540,650,650,650,650,650,650,650,650,650,8,0,360.0,414.1658281296259,179.83191600069404,652.808458020445,92.0
1772109693,5,,Aggregated,0.000000,0.000000,540,540,650,650,650,650,650,650,650,650,650,8,0,360.0,414.1658281296259,179.83191600069404,652.808458020445,92.0
1772109694,5,GET,/,0.000000,0.000000,650,650,660,660,680,680,680,680,680,680,680,10,0,390.0,466.07154170051217,179.83191600069404,682.9685419797897,92.0
1772109694,5,,Aggregated,0.000000,0.000000,650,650,660,660,680,680,680,680,680,680,680,10,0,390.0,466.07154170051217,179.83191600069404,682.9685419797897,92.0
1772109695,5,GET,/,2.500000,0.000000,540,650,650,660,680,750,750,750,750,750,750,15,0,540.0,477.59531387127936,179.83191600069404,752.9458330245689,92.0
1772109695,5,,Aggregated,2.500000,0.000000,540,650,650,660,680,750,750,750,750,750,750,15,0,540.0,477.59531387127936,179.83191600069404,752.9458330245689,92.0
1772109696,5,GET,/,3.333333,0.000000,540,650,660,680,740,750,750,750,750,750,750,17,0,540.0,484.3586838276892,179.83191600069404,752.9458330245689,92.0
1772109696,5,,Aggregated,3.333333,0.000000,540,650,660,680,740,750,750,750,750,750,750,17,0,540.0,484.3586838276892,179.83191600069404,752.9458330245689,92.0
1772109697,5,GET,/,3.000000,0.000000,550,660,660,680,740,750,750,750,750,750,750,21,0,540.0,498.7511567139466,179.83191600069404,752.9458330245689,92.0
1772109697,5,,Aggregated,3.000000,0.000000,550,660,660,680,740,750,750,750,750,750,750,21,0,540.0,498.7511567139466,179.83191600069404,752.9458330245689,92.0
1772109698,5,GET,/,3.000000,0.000000,600,650,660,660,680,740,750,750,750,750,750,24,0,550.0,511.72390446057153,179.83191600069404,752.9458330245689,92.0
1772109698,5,,Aggregated,3.000000,0.000000,600,650,660,660,680,740,750,750,750,750,750,24,0,550.0,511.72390446057153,179.83191600069404,752.9458330245689,92.0
1772109699,5,GET,/,3.166667,0.000000,550,650,660,680,740,750,750,750,750,750,750,27,0,550.0,511.8152314098552,179.83191600069404,752.9458330245689,92.0
1772109699,5,,Aggregated,3.166667,0.000000,550,650,660,680,740,750,750,750,750,750,750,27,0,550.0,511.8152314098552,179.83191600069404,752.9458330245689,92.0
