Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,36,0,510.0,508.37173841622035,232.0301659638062,736.7126669851132,92.0,1.3510079724844681,0.0,510,620,650,650,680,730,740,740,740,740,740
,Aggregated,36,0,510.0,508.37173841622035,232.0301659638062,736.7126669851132,92.0,1.3510079724844681,0.0,510,620,650,650,680,730,740,740,740,740,740
