Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,231,0,660.0,653.5626161592565,147.82016701065004,802.3594580008648,92.0,2.4252522507415737,0.0,660,730,740,750,760,760,760,770,800,800,800
,Aggregated,231,0,660.0,653.5626161592565,147.82016701065004,802.3594580008648,92.0,2.4252522507415737,0.0,660,730,740,750,760,760,760,770,800,800,800
