Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,182,0,660.0,666.9386563740113,141.63233299041167,768.3475419762544,92.0,0.6007936567976035,0.0,660,740,750,750,760,760,770,770,770,770,770
,Aggregated,182,0,660.0,666.9386563740113,141.63233299041167,768.3475419762544,92.0,0.6007936567976035,0.0,660,740,750,750,760,760,770,770,770,770,770
