Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,338,0,660.0,659.1015570606215,201.286707946565,794.6718750172295,92.0,0.6026262953979301,0.0,660,700,730,740,750,760,760,760,790,790,790
,Aggregated,338,0,660.0,659.1015570606215,201.286707946565,794.6718750172295,92.0,0.6026262953979301,0.0,660,700,730,740,750,760,760,760,790,790,790
