timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 06:20:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.53,174.04,242.40,248.48,152.65,10.46,0.80
2026-02-26 06:22:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.58,174.22,242.94,249.05,153.93,10.52,0.81
2026-02-26 06:24:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.62,174.28,243.05,249.17,153.90,10.56,0.79
2026-02-26 06:26:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.64,174.22,242.74,248.83,152.56,10.57,0.74
2026-02-26 06:28:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.72,174.40,243.05,249.15,153.17,10.66,0.77
2026-02-26 06:30:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.75,174.41,243.06,249.17,153.29,10.69,0.77
2026-02-26 06:32:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.73,174.23,242.74,248.83,152.84,10.66,0.74
2026-02-26 06:34:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.64,174.22,242.83,248.93,152.36,10.57,0.79
2026-02-26 06:36:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.61,174.22,242.84,248.94,152.12,10.54,0.79
2026-02-26 06:38:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.64,174.22,242.73,248.82,152.17,10.58,0.73
2026-02-26 06:40:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.65,174.11,242.52,248.60,151.80,10.59,0.74
2026-02-26 06:42:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.67,174.16,242.56,248.63,151.92,10.60,0.77
2026-02-26 06:44:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.70,174.39,242.88,248.97,152.64,10.63,0.82
2026-02-26 06:46:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.75,174.40,243.09,249.19,153.12,10.68,0.82
2026-02-26 06:48:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.70,174.40,243.17,249.28,153.59,10.63,0.82
2026-02-26 06:50:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.50,174.39,243.08,249.18,154.06,10.43,0.81
2026-02-26 06:52:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.61,174.24,242.76,248.85,153.62,10.54,0.82
2026-02-26 06:54:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.69,174.15,242.57,248.65,153.32,10.62,0.82
2026-02-26 06:56:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.69,174.15,242.57,248.65,153.32,10.62,0.82
2026-02-26 06:58:04,task3,unknown,1,3.00,1.00,1536.00,1536.00,10.69,174.15,242.57,248.65,153.32,10.62,0.82
