timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 13:43:31,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.63,211.16,462.48,492.5,231.87,1.63,0.16
2026-02-26 13:45:32,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.57,219.55,466.46,493.29,241.3,1.57,0.16
2026-02-26 13:47:32,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.5,217.23,465.3,493.06,252.96,1.5,0.16
2026-02-26 13:49:32,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.61,211.5,461.82,492.36,245.33,1.61,0.16
2026-02-26 13:51:32,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.49,224.74,468.65,493.73,250.51,1.49,0.15
2026-02-26 13:53:33,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.55,210.78,461.3,492.26,242.3,1.55,0.16
2026-02-26 13:55:33,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.34,226.79,469.4,493.88,248.72,1.34,0.13
2026-02-26 13:57:33,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.47,199.36,449.01,489.8,246.33,1.47,0.15
2026-02-26 13:59:34,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.54,211.14,461.56,492.31,247.19,1.54,0.15
2026-02-26 14:01:34,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.61,194.85,440.28,488.06,243.14,1.61,0.17
2026-02-26 14:03:34,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.49,218.18,465.79,493.16,242.61,1.49,0.15
2026-02-26 14:05:35,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.52,199.17,448.72,489.74,242.81,1.52,0.15
2026-02-26 14:07:35,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.35,205.75,457.01,491.4,242.15,1.35,0.14
2026-02-26 14:09:35,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.52,199.15,448.68,489.74,236.44,1.52,0.16
2026-02-26 14:11:35,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.53,213.89,463.39,492.68,250.56,1.53,0.15
2026-02-26 14:13:36,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.43,209.16,460.05,492.01,240.03,1.43,0.15
2026-02-26 14:15:36,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.56,217.23,465.3,493.06,241.01,1.56,0.17
2026-02-26 14:17:36,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.46,220.31,466.81,493.36,247.97,1.46,0.16
2026-02-26 14:19:37,task2,/,3.0,9.0,3.0,4608.0,4608.0,1.48,223.16,468.03,493.61,248.65,1.48,0.15
