timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 14:42:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.43,353.80,489.77,690.00,287.74,7.36,0.36
2026-02-26 14:44:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.75,354.25,491.35,759.23,292.57,7.68,0.40
2026-02-26 14:46:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.94,354.94,491.87,784.01,295.55,7.87,0.42
2026-02-26 14:48:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.98,355.90,491.27,761.28,296.55,7.91,0.43
2026-02-26 14:50:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.70,355.05,490.59,731.33,296.86,7.63,0.39
2026-02-26 14:52:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.54,355.24,491.36,751.19,297.55,7.47,0.38
2026-02-26 14:54:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.52,356.71,493.84,830.13,298.72,7.45,0.40
2026-02-26 14:56:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,7.71,355.23,493.19,819.29,296.69,7.64,0.41
2026-02-26 14:58:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.84,309.68,430.67,708.01,258.23,6.77,0.37
2026-02-26 15:00:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,4.56,206.74,287.51,472.66,172.39,4.52,0.25
2026-02-26 15:02:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,2.29,103.80,144.35,237.31,86.55,2.27,0.12
2026-02-26 15:04:55,task2,unknown,2,6.00,2.00,3072.00,3072.00,0.02,0.86,1.19,1.96,0.72,0.02,0.00
2026-02-26 15:06:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-02-26 15:08:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-02-26 15:10:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-02-26 15:12:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-02-26 15:14:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-02-26 15:16:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-02-26 15:18:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.04,34.17,96.65,171.82,31.53,0.03,0.01
2026-02-26 15:20:55,task2,unknown,2,0.00,0.00,0.00,0.00,0.12,89.58,253.38,450.45,82.66,0.08,0.02
