timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 12:46:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.21,176.32,246.32,405.08,165.64,14.15,1.00
2026-02-26 12:48:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.25,176.30,246.31,404.81,162.46,14.18,1.01
2026-02-26 12:50:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.26,176.15,246.00,395.49,162.49,14.19,1.01
2026-02-26 12:52:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.23,175.85,245.41,376.83,165.84,14.16,1.00
2026-02-26 12:54:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.20,176.43,246.52,405.47,166.47,14.14,1.06
2026-02-26 12:56:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.20,176.73,247.10,420.49,166.79,14.13,1.09
2026-02-26 12:58:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.21,176.73,247.10,420.54,166.78,14.14,1.09
2026-02-26 13:00:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.20,176.55,246.75,414.12,166.94,14.13,1.09
2026-02-26 13:02:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.14,176.41,246.50,409.10,167.02,14.08,1.09
2026-02-26 13:04:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.04,176.33,246.36,405.97,166.99,13.98,1.08
2026-02-26 13:06:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.12,176.92,247.48,426.56,168.87,14.06,1.05
2026-02-26 13:08:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.20,176.87,247.38,422.05,168.78,14.14,1.05
2026-02-26 13:10:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.27,175.98,245.66,384.24,166.08,14.21,1.09
2026-02-26 13:12:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.20,176.16,246.01,395.97,167.07,14.13,1.09
2026-02-26 13:14:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.19,176.37,246.41,410.57,167.90,14.12,1.05
2026-02-26 13:16:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.28,176.50,246.64,423.55,168.09,14.21,0.96
2026-02-26 13:18:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.28,176.71,247.06,424.32,168.05,14.22,1.03
2026-02-26 13:20:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.28,176.85,247.32,424.04,168.01,14.22,1.09
2026-02-26 13:22:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.28,176.85,247.32,424.04,168.01,14.22,1.09
2026-02-26 13:24:52,task3,unknown,3,9.00,3.00,4608.00,4608.00,14.28,176.85,247.32,424.04,168.01,14.22,1.09
