timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 01:04:51,task1,/,1.0,6.0,2.0,3072.0,3072.0,0.0,nan,nan,nan,nan,0.0,0.0
2026-02-26 01:06:51,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.6,734.76,973.48,994.7,632.21,0.6,0.27
2026-02-26 01:08:52,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.58,750.0,975.0,995.0,696.8,0.58,0.31
2026-02-26 01:10:52,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.58,750.0,975.0,995.0,700.08,0.58,0.27
2026-02-26 01:12:52,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.61,750.0,975.0,995.0,685.86,0.61,0.26
2026-02-26 01:14:53,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,678.47,0.59,0.27
2026-02-26 01:16:53,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,696.29,0.59,0.25
2026-02-26 01:18:53,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.6,750.0,975.0,995.0,668.25,0.6,0.28
2026-02-26 01:20:54,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.61,750.0,975.0,995.0,672.58,0.61,0.28
2026-02-26 01:22:54,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,702.66,0.59,0.27
2026-02-26 01:24:54,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.56,750.0,975.0,995.0,706.86,0.56,0.3
2026-02-26 01:26:55,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,698.79,0.59,0.31
2026-02-26 01:28:55,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,701.05,0.59,0.29
2026-02-26 01:30:55,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,691.94,0.59,0.31
2026-02-26 01:32:56,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.57,750.0,975.0,995.0,704.08,0.57,0.3
2026-02-26 01:34:56,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.59,750.0,975.0,995.0,671.85,0.59,0.32
2026-02-26 01:36:56,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.6,745.83,974.58,994.92,661.51,0.6,0.29
2026-02-26 01:38:57,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.6,746.03,974.6,994.92,658.73,0.6,0.31
2026-02-26 01:40:57,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.63,750.0,975.0,995.0,636.74,0.63,0.31
2026-02-26 01:42:58,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.6,750.0,975.0,995.0,680.95,0.6,0.31
