timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 06:21:42,task1,/,2.0,6.0,2.0,3072.0,3072.0,0.0,nan,nan,nan,nan,0.0,0.01
2026-02-26 06:23:42,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.23,748.99,974.9,994.98,691.43,2.32,1.18
2026-02-26 06:25:43,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.35,750.0,975.0,995.0,692.67,2.35,1.19
2026-02-26 06:27:43,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.34,750.0,975.0,995.0,702.2,2.34,1.18
2026-02-26 06:29:43,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.34,750.0,975.0,995.0,692.56,2.34,1.13
2026-02-26 06:31:43,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.31,750.0,975.0,995.0,708.25,2.31,1.18
2026-02-26 06:33:44,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.33,750.0,975.0,995.0,696.35,2.33,1.2
2026-02-26 06:35:44,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.3,750.0,975.0,995.0,711.82,2.3,1.1
2026-02-26 06:37:44,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.38,750.0,975.0,995.0,683.1,2.38,1.21
2026-02-26 06:39:45,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.36,750.0,975.0,995.0,694.35,2.36,1.16
2026-02-26 06:41:45,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.36,750.0,975.0,995.0,690.44,2.36,1.19
2026-02-26 06:43:45,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.31,750.0,975.0,995.0,704.42,2.31,1.19
2026-02-26 06:45:45,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.36,750.0,975.0,995.0,688.81,2.36,1.06
2026-02-26 06:47:46,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.36,750.0,975.0,995.0,686.87,2.36,1.18
2026-02-26 06:49:46,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.32,750.0,975.0,995.0,698.93,2.32,1.13
2026-02-26 06:51:46,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.31,750.0,975.0,995.0,713.13,2.31,1.17
2026-02-26 06:53:47,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.32,750.0,975.0,995.0,704.0,2.32,1.06
2026-02-26 06:55:47,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.38,750.0,975.0,995.0,684.28,2.38,1.13
2026-02-26 06:57:47,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.34,750.0,975.0,995.0,693.94,2.34,1.18
2026-02-26 06:59:48,task1,/,2.0,6.0,2.0,3072.0,3072.0,2.35,750.0,975.0,995.0,693.79,2.35,1.04
