timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 13:43:31,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.91,171.95,242.2,248.44,142.88,2.91,0.41
2026-02-26 13:45:32,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.9,175.0,242.5,248.5,151.13,2.9,0.42
2026-02-26 13:47:32,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.92,175.0,242.5,248.5,151.74,2.92,0.44
2026-02-26 13:49:32,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.91,175.0,242.5,248.5,151.86,2.91,0.44
2026-02-26 13:51:33,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.97,175.0,242.5,248.5,146.97,2.97,0.44
2026-02-26 13:53:33,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.94,175.0,242.5,248.5,151.65,2.94,0.4
2026-02-26 13:55:33,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.95,175.0,242.5,248.5,151.13,2.95,0.4
2026-02-26 13:57:33,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.96,175.0,242.5,248.5,149.16,2.96,0.44
2026-02-26 13:59:34,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.91,175.0,242.5,248.5,152.24,2.91,0.44
2026-02-26 14:01:34,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.97,175.0,242.5,248.5,146.35,2.97,0.42
2026-02-26 14:03:34,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.92,175.0,242.5,248.5,148.31,2.92,0.45
2026-02-26 14:05:35,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.94,175.0,242.5,248.5,148.04,2.94,0.44
2026-02-26 14:07:35,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.92,175.0,242.5,248.5,152.2,2.92,0.42
2026-02-26 14:09:35,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.93,175.0,242.5,248.5,151.25,2.93,0.4
2026-02-26 14:11:36,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.95,175.0,242.5,248.5,150.39,2.95,0.44
2026-02-26 14:13:36,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.9,175.0,242.5,248.5,151.11,2.9,0.42
2026-02-26 14:15:36,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.97,175.0,242.5,248.5,148.86,2.97,0.43
2026-02-26 14:17:36,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.96,175.0,242.5,248.5,148.6,2.96,0.44
2026-02-26 14:19:37,task3,/,3.0,9.0,3.0,4608.0,4608.0,2.91,175.0,242.5,248.5,152.79,2.91,0.41
