timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 06:58:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.46,174.44,243.02,249.11,156.15,11.39,0.82
2026-02-26 07:00:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.76,174.66,243.40,249.51,156.51,11.69,0.88
2026-02-26 07:02:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.93,174.74,243.54,249.65,157.10,11.87,0.91
2026-02-26 07:04:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.98,174.69,243.43,249.54,157.91,11.92,0.92
2026-02-26 07:06:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.64,174.79,243.66,249.78,158.19,11.58,0.89
2026-02-26 07:08:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.53,174.75,243.59,249.71,157.94,11.47,0.88
2026-02-26 07:10:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.69,174.54,243.18,249.28,157.05,11.63,0.89
2026-02-26 07:12:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.74,174.73,243.54,249.65,157.96,11.65,0.90
2026-02-26 07:14:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.73,175.05,244.16,283.71,158.58,11.64,0.89
2026-02-26 07:16:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.67,175.53,245.08,360.31,158.73,11.60,0.85
2026-02-26 07:18:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.67,175.06,244.22,293.86,155.16,11.60,0.82
2026-02-26 07:20:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.69,174.83,243.77,257.84,154.55,11.62,0.80
2026-02-26 07:22:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.74,174.99,244.04,276.83,158.28,11.67,0.81
2026-02-26 07:24:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.73,174.85,243.79,260.98,157.43,11.66,0.82
2026-02-26 07:26:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.69,174.72,243.53,249.65,157.18,11.62,0.83
2026-02-26 07:28:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.63,174.62,243.33,249.44,158.39,11.56,0.82
2026-02-26 07:30:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.66,174.52,243.13,249.23,158.32,11.59,0.87
2026-02-26 07:32:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.69,174.45,243.01,249.10,158.19,11.62,0.90
2026-02-26 07:34:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.69,174.45,243.01,249.10,158.19,11.62,0.90
2026-02-26 07:36:41,task3,unknown,2,6.00,2.00,3072.00,3072.00,11.69,174.45,243.01,249.10,158.19,11.62,0.90
