timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 11:27:41,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.19,717.56,971.76,994.35,636.05,1.19,0.51
2026-02-26 11:29:41,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.19,750.0,975.0,995.0,660.88,1.19,0.53
2026-02-26 11:31:41,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.22,750.0,975.0,995.0,666.52,1.22,0.6
2026-02-26 11:33:42,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.19,750.0,975.0,995.0,678.76,1.19,0.61
2026-02-26 11:35:42,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.2,750.0,975.0,995.0,683.61,1.2,0.62
2026-02-26 11:37:42,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.22,750.0,975.0,995.0,678.83,1.22,0.57
2026-02-26 11:39:42,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.19,750.0,975.0,995.0,698.2,1.19,0.58
2026-02-26 11:41:43,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.21,750.0,975.0,995.0,697.95,1.21,0.59
2026-02-26 11:43:43,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.16,750.0,975.0,995.0,710.16,1.16,0.6
2026-02-26 11:45:43,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.17,750.0,975.0,995.0,678.17,1.17,0.6
2026-02-26 11:47:44,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.19,750.0,975.0,995.0,706.72,1.19,0.6
2026-02-26 11:49:44,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.18,750.0,975.0,995.0,713.02,1.18,0.58
2026-02-26 11:51:44,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.18,750.0,975.0,995.0,681.13,1.18,0.61
2026-02-26 11:53:45,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.16,750.0,975.0,995.0,704.1,1.16,0.58
2026-02-26 11:55:45,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.21,750.0,975.0,995.0,681.06,1.21,0.58
2026-02-26 11:57:45,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.18,750.0,975.0,995.0,678.23,1.18,0.59
2026-02-26 11:59:45,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.2,750.0,975.0,995.0,695.99,1.2,0.6
2026-02-26 12:01:46,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.18,750.0,975.0,995.0,671.05,1.18,0.58
2026-02-26 12:03:46,task1,/,3.0,9.0,3.0,4608.0,4608.0,1.16,750.0,975.0,995.0,691.52,1.16,0.6
