timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 10:47:00,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.28,174.92,315.31,463.06,191.09,0.28,0.03
2026-02-26 10:49:00,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.29,180.77,325.0,465.0,205.0,0.29,0.03
2026-02-26 10:51:00,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.27,183.33,375.0,475.0,236.43,0.27,0.03
2026-02-26 10:53:01,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.32,194.44,439.29,487.86,237.94,0.32,0.04
2026-02-26 10:55:01,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.29,198.86,448.21,489.64,236.17,0.29,0.03
2026-02-26 10:57:01,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.25,208.33,459.38,491.88,241.54,0.25,0.03
2026-02-26 10:59:02,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.3,188.89,420.0,484.0,238.75,0.3,0.04
2026-02-26 11:01:02,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.27,195.45,441.67,488.33,238.93,0.27,0.03
2026-02-26 11:03:02,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.27,216.67,465.0,493.0,242.86,0.27,0.03
2026-02-26 11:05:02,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.29,189.42,422.5,484.5,248.5,0.29,0.04
2026-02-26 11:07:03,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.29,193.75,437.5,487.5,245.0,0.29,0.03
2026-02-26 11:09:03,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.3,193.0,435.42,487.08,232.34,0.3,0.04
2026-02-26 11:11:03,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.3,199.0,448.44,489.69,248.91,0.3,0.04
2026-02-26 11:13:04,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.3,201.09,451.56,490.31,241.13,0.3,0.03
2026-02-26 11:15:04,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.3,205.68,456.94,491.39,236.72,0.3,0.04
2026-02-26 11:17:04,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.32,214.13,463.54,492.71,253.09,0.32,0.04
2026-02-26 11:19:05,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.27,181.0,331.25,466.25,221.96,0.27,0.04
2026-02-26 11:21:05,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.29,190.0,425.0,485.0,220.33,0.29,0.03
2026-02-26 11:23:05,task2,/,3.0,9.0,3.0,4608.0,4608.0,0.35,196.43,443.75,488.75,228.38,0.35,0.03
