timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 11:29:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.58,174.37,242.86,248.95,155.60,11.51,0.76
2026-02-26 11:31:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.59,174.58,243.26,249.37,156.38,11.52,0.85
2026-02-26 11:33:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.60,174.84,243.77,270.91,156.92,11.53,0.89
2026-02-26 11:35:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.59,175.15,244.38,314.28,157.22,11.53,0.89
2026-02-26 11:37:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.65,174.70,243.49,272.04,156.59,11.59,0.82
2026-02-26 11:39:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.67,174.45,243.01,249.10,156.58,11.61,0.82
2026-02-26 11:41:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.65,174.45,243.01,249.11,157.27,11.58,0.89
2026-02-26 11:43:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.68,174.80,243.69,268.28,157.14,11.62,0.84
2026-02-26 11:45:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.68,174.88,243.83,269.75,157.19,11.62,0.84
2026-02-26 11:47:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.62,174.61,243.33,250.23,157.48,11.56,0.89
2026-02-26 11:49:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.68,174.80,243.79,268.89,157.43,11.62,0.89
2026-02-26 11:51:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.71,174.87,243.94,271.30,157.67,11.64,0.89
2026-02-26 11:53:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.69,174.77,243.63,251.08,158.30,11.63,0.89
2026-02-26 11:55:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.71,174.62,243.33,249.44,157.26,11.65,0.90
2026-02-26 11:57:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.72,174.55,243.20,249.31,156.69,11.65,0.90
2026-02-26 11:59:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.68,174.61,243.30,249.41,156.91,11.62,0.89
2026-02-26 12:01:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.69,174.61,243.31,249.42,156.77,11.63,0.89
2026-02-26 12:03:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.70,174.61,243.31,249.42,156.66,11.63,0.89
2026-02-26 12:05:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.70,174.61,243.31,249.42,156.66,11.63,0.89
2026-02-26 12:07:35,task3,unknown,1,3.00,1.00,1536.00,1536.00,11.70,174.61,243.31,249.42,156.66,11.63,0.89
