timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 12:08:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.42,774.37,1855.91,2371.18,800.39,14.16,3.59
2026-02-26 12:10:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.41,768.61,1693.21,2338.64,795.11,14.14,3.36
2026-02-26 12:12:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.34,771.17,1721.32,2344.26,805.70,14.07,3.31
2026-02-26 12:14:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.21,782.32,1946.70,2389.34,832.71,13.94,3.44
2026-02-26 12:16:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.40,769.13,1616.72,2323.35,806.31,14.13,3.45
2026-02-26 12:18:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.41,767.00,1580.13,2316.03,802.13,14.14,3.39
2026-02-26 12:20:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.21,777.57,1878.24,2375.65,823.53,13.94,3.26
2026-02-26 12:22:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.40,778.80,1900.09,2380.02,823.44,14.13,3.41
2026-02-26 12:24:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.51,777.76,1881.76,2376.35,819.52,14.24,3.54
2026-02-26 12:26:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.50,774.35,1825.99,2365.20,811.81,14.24,3.63
2026-02-26 12:28:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.57,774.11,1821.00,2364.20,811.60,14.30,3.64
2026-02-26 12:30:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.68,772.91,1792.50,2358.50,813.32,14.41,3.59
2026-02-26 12:32:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.86,770.19,1729.13,2345.83,816.94,14.59,3.47
2026-02-26 12:34:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.61,774.06,1811.83,2362.37,813.17,14.35,3.44
2026-02-26 12:36:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.54,776.71,1867.23,2373.45,812.48,14.28,3.40
2026-02-26 12:38:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.75,776.98,1869.68,2373.94,816.78,14.48,3.32
2026-02-26 12:40:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.44,775.06,1838.34,2367.67,813.64,14.17,3.44
2026-02-26 12:42:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.22,773.77,1817.50,2363.50,811.30,13.95,3.53
2026-02-26 12:44:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.22,773.77,1817.50,2363.50,811.30,13.95,3.53
2026-02-26 12:46:12,task1,unknown,2,6.00,2.00,3072.00,3072.00,14.22,773.77,1817.50,2363.50,811.30,13.95,3.53
