timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 12:46:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.42,766.68,1682.50,2336.50,797.25,14.15,3.33
2026-02-26 12:48:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.44,774.62,1825.37,2365.07,810.19,14.18,3.38
2026-02-26 12:50:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.44,776.59,1861.40,2372.28,814.43,14.18,3.40
2026-02-26 12:52:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.43,772.40,1786.96,2357.39,809.66,14.16,3.39
2026-02-26 12:54:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.40,771.96,1777.41,2355.48,807.17,14.14,3.33
2026-02-26 12:56:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.39,773.92,1813.30,2362.66,808.06,14.12,3.28
2026-02-26 12:58:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.39,778.45,1898.17,2379.63,812.63,14.11,3.24
2026-02-26 13:00:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.42,777.61,1883.34,2376.67,813.56,14.14,3.47
2026-02-26 13:02:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.37,776.53,1865.26,2373.05,813.10,14.10,3.58
2026-02-26 13:04:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.24,775.40,1847.40,2369.48,811.14,13.97,3.54
2026-02-26 13:06:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.33,771.64,1768.62,2353.72,807.89,14.06,3.57
2026-02-26 13:08:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.41,769.52,1722.47,2344.49,804.76,14.14,3.55
2026-02-26 13:10:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.46,769.66,1721.61,2344.32,801.85,14.19,3.48
2026-02-26 13:12:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.40,775.67,1837.34,2367.47,811.32,14.13,3.41
2026-02-26 13:14:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.39,775.92,1832.82,2366.56,816.06,14.12,3.43
2026-02-26 13:16:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.45,767.41,1646.73,2329.34,812.77,14.18,3.59
2026-02-26 13:18:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.45,776.35,1823.16,2364.63,812.61,14.19,3.51
2026-02-26 13:20:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.45,782.97,1955.00,2391.00,812.73,14.19,3.44
2026-02-26 13:22:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.45,782.97,1955.00,2391.00,812.73,14.19,3.44
2026-02-26 13:24:51,task1,unknown,3,9.00,3.00,4608.00,4608.00,14.45,782.97,1955.00,2391.00,812.73,14.19,3.44
