timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 07:37:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.37,742.73,981.28,1479.00,722.32,12.10,3.06
2026-02-26 07:39:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.14,747.38,987.21,1842.33,735.07,11.87,2.81
2026-02-26 07:41:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.04,748.21,987.24,1828.81,740.00,11.77,2.69
2026-02-26 07:43:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.07,745.11,981.16,1425.65,736.86,11.80,2.70
2026-02-26 07:45:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.00,744.86,980.76,1371.22,734.13,11.73,2.78
2026-02-26 07:47:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.99,745.59,982.06,1495.71,733.09,11.72,2.87
2026-02-26 07:49:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.03,747.31,985.06,1805.15,733.85,11.77,2.98
2026-02-26 07:51:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.90,748.19,987.60,1926.65,743.96,11.64,2.90
2026-02-26 07:53:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.84,747.63,986.75,1841.80,745.19,11.58,2.83
2026-02-26 07:55:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.89,745.39,981.91,1520.73,735.56,11.62,2.79
2026-02-26 07:57:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.86,746.06,983.29,1662.87,736.51,11.59,2.87
2026-02-26 07:59:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.93,746.78,984.66,1782.63,739.22,11.66,2.95
2026-02-26 08:01:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.13,747.34,985.53,1837.82,743.34,11.86,3.01
2026-02-26 08:03:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.10,746.90,984.67,1782.35,741.37,11.84,2.88
2026-02-26 08:05:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,12.04,746.43,983.85,1725.14,737.87,11.77,2.82
2026-02-26 08:07:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.93,746.04,983.27,1678.09,732.92,11.66,2.89
2026-02-26 08:09:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.96,744.94,981.02,1346.49,734.60,11.69,2.79
2026-02-26 08:11:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.98,744.25,979.60,1134.99,735.95,11.71,2.73
2026-02-26 08:13:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.98,744.25,979.60,1134.99,735.95,11.71,2.73
2026-02-26 08:15:22,task1,unknown,3,9.00,3.00,4608.00,4608.00,11.98,744.25,979.60,1134.99,735.95,11.71,2.73
