timestamp,service,endpoint,replicas,cpu_limit,cpu_request,memory_limit,memory_request,request_rate,p50_latency,p95_latency,p99_latency,avg_latency,throughput,cpu_usage
2026-02-26 09:33:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.37,323.37,484.78,499.13,264.85,6.30,0.35
2026-02-26 09:35:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.60,328.50,489.37,707.22,277.82,6.53,0.36
2026-02-26 09:37:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.75,329.57,489.13,710.80,281.00,6.68,0.36
2026-02-26 09:39:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.80,326.45,483.89,502.95,274.05,6.73,0.36
2026-02-26 09:41:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.63,324.72,486.34,660.83,279.11,6.57,0.33
2026-02-26 09:43:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.54,326.99,487.47,689.05,281.48,6.48,0.32
2026-02-26 09:45:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.55,333.96,486.83,552.94,280.31,6.48,0.33
2026-02-26 09:47:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.52,334.25,486.45,516.91,279.77,6.45,0.34
2026-02-26 09:49:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.49,333.30,488.42,598.45,280.40,6.42,0.34
2026-02-26 09:51:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.48,331.27,493.54,830.65,282.53,6.41,0.32
2026-02-26 09:53:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.40,332.71,488.62,637.60,277.08,6.33,0.33
2026-02-26 09:55:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.41,331.94,484.48,498.03,270.88,6.35,0.34
2026-02-26 09:57:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.57,327.39,482.86,496.69,264.58,6.51,0.34
2026-02-26 09:59:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.44,327.82,485.61,597.60,268.27,6.38,0.32
2026-02-26 10:01:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.29,329.20,486.79,624.63,272.04,6.23,0.31
2026-02-26 10:03:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.18,331.12,484.60,512.81,273.98,6.11,0.30
2026-02-26 10:05:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.33,331.86,488.44,688.38,280.30,6.28,0.33
2026-02-26 10:07:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.46,332.23,491.58,833.08,284.91,6.42,0.35
2026-02-26 10:09:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.46,332.23,491.58,833.08,284.91,6.42,0.35
2026-02-26 10:11:23,task2,unknown,2,6.00,2.00,3072.00,3072.00,6.46,332.23,491.58,833.08,284.91,6.42,0.35
